10/10/2014 | 14:15:14 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5415
10/10/2014 | 14:15:15 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:15:15 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5410
10/10/2014 | 14:15:16 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:15:16 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5410
10/10/2014 | 14:15:16 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:15:17 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5410
10/10/2014 | 14:15:17 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4645
10/10/2014 | 14:15:17 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
10/10/2014 | 14:15:18 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4645
10/10/2014 | 14:15:18 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
10/10/2014 | 14:15:19 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4640
10/10/2014 | 14:15:19 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5415
10/10/2014 | 14:15:20 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:15:20 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5420
10/10/2014 | 14:15:21 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4655
10/10/2014 | 14:15:22 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5415
10/10/2014 | 14:15:24 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4660
10/10/2014 | 14:15:24 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5415
10/10/2014 | 14:15:25 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4660
10/10/2014 | 14:15:25 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5415
10/10/2014 | 14:15:26 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:15:26 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5410
10/10/2014 | 14:15:26 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4620
10/10/2014 | 14:15:27 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5415
10/10/2014 | 14:15:27 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4615
10/10/2014 | 14:15:27 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
10/10/2014 | 14:15:27 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4615
10/10/2014 | 14:15:28 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
10/10/2014 | 14:15:28 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4630
10/10/2014 | 14:15:28 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5415
10/10/2014 | 14:15:29 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:15:29 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
10/10/2014 | 14:15:30 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4635
10/10/2014 | 14:15:30 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
10/10/2014 | 14:15:30 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4625
10/10/2014 | 14:15:30 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
10/10/2014 | 14:15:31 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4625
10/10/2014 | 14:15:31 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5405
10/10/2014 | 14:15:31 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4650
10/10/2014 | 14:15:31 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5420
10/10/2014 | 14:15:32 | WeMo Insight89 | IP address:128.237.125.45 | State:8 | currentmw:4670
10/10/2014 | 14:15:33 | WeMo Insight74 | IP address:128.237.230.120 | State:8 | currentmw:5415
